date,AS7922,AS2119,AS8767,AS37100,AS15169,AS16276,AS13335,AS6830
2018-07-19,0,0,18,0,6,0,8,11
2018-07-20,0,0,18,0,5,0,7,11
2018-07-21,0,0,18,0,24,0,8,11
2018-07-22,0,0,18,0,10,0,8,10
2018-07-23,0,0,18,0,7,0,5,10
2018-07-24,0,0,18,0,8,0,10,9
2018-07-25,0,0,17,0,6,0,15,9
2018-07-26,0,0,17,0,7,0,10,10
2018-07-27,0,0,17,0,6,0,10,9
2018-07-28,0,0,18,0,6,0,10,11
2018-07-29,0,0,15,0,21,0,6,9
2018-07-30,27,0,18,0,10,0,20,9
2018-07-31,24,0,19,0,7,0,20,18
2018-08-01,33,0,18,0,8,0,25,18
2018-08-02,30,0,19,0,18,27,18,9
2018-08-03,27,0,18,0,12,27,20,9
2018-08-04,36,0,19,0,20,26,12,9
2018-08-05,36,0,19,0,21,26,24,11
2018-08-06,39,0,18,0,18,26,24,18
2018-08-07,45,0,19,0,8,26,10,9
2018-08-08,39,0,19,0,18,26,18,9
2018-08-09,42,0,18,0,8,27,12,9
2018-08-10,42,0,18,0,9,26,18,14
2018-08-11,39,0,18,0,21,26,18,21
2018-08-12,40,0,18,0,30,26,30,8
2018-08-13,32,0,18,0,24,27,24,8
2018-08-14,28,0,16,0,7,26,30,8
2018-08-15,20,0,16,0,20,26,18,14
2018-08-16,10,0,16,0,14,26,11,15
2018-08-17,20,0,17,0,16,26,20,19
2018-08-18,20,0,17,0,16,26,20,15
2018-08-19,10,0,18,0,18,26,11,14
2018-08-20,10,0,17,0,18,26,36,36
2018-08-21,10,0,34,0,34,27,11,24
2018-08-22,11,0,17,0,19,26,24,13
2018-08-23,10,36,16,0,18,28,36,36
2018-08-24,27,27,17,0,36,28,13,36
2018-08-25,10,16,15,0,16,28,11,24
2018-08-26,10,7,16,0,19,28,11,14
2018-08-27,20,7,18,0,17,28,20,14
2018-08-28,10,8,19,0,14,29,11,15
2018-08-29,10,36,18,0,30,29,11,30
2018-08-30,22,10,18,0,15,28,22,12
2018-08-31,10,7,18,0,14,28,11,17
2018-09-01,20,30,19,0,15,28,20,17
2018-09-02,10,7,38,38,21,28,13,15
2018-09-03,10,18,18,24,16,28,11,17
2018-09-04,20,20,18,24,13,28,11,17
2018-09-05,11,10,19,23,15,28,14,18
2018-09-06,13,11,18,23,15,29,14,17
2018-09-07,13,9,18,24,28,29,28,17
2018-09-08,13,9,32,24,10,28,32,17
2018-09-09,13,10,17,22,15,28,14,18
2018-09-10,26,8,17,23,9,28,26,18
2018-09-11,39,39,17,22,39,28,14,18
2018-09-12,26,18,54,22,26,29,54,54
2018-09-13,28,13,36,22,28,28,10,36
2018-09-14,13,20,18,24,11,28,20,15
2018-09-15,13,20,18,22,20,29,24,15
2018-09-16,13,10,18,24,14,28,11,17
2018-09-17,13,18,18,22,16,28,10,19
2018-09-18,13,11,36,24,36,30,17,19
2018-09-19,13,10,18,22,20,30,16,19
2018-09-20,26,28,18,24,28,30,26,19
2018-09-21,26,10,16,24,26,31,17,19
2018-09-22,14,18,16,22,21,31,13,19
2018-09-23,11,10,16,24,17,31,24,19
2018-09-24,22,22,18,23,20,31,14,19
2018-09-25,22,22,17,23,15,31,20,19
2018-09-26,11,24,17,24,18,31,22,19
2018-09-27,24,14,17,24,16,31,18,19
2018-09-28,13,24,38,22,38,31,21,20
2018-09-29,16,10,18,24,21,32,28,20
2018-09-30,16,10,17,24,18,31,25,20
2018-10-01,16,15,17,24,21,31,26,20
2018-10-02,16,13,17,44,44,33,29,20
2018-10-03,16,15,17,22,21,32,27,18
2018-10-04,30,30,17,24,19,31,27,18
2018-10-05,30,30,17,24,23,31,25,18
2018-10-06,30,30,17,24,36,31,34,36
2018-10-07,15,14,17,48,21,32,48,18
2018-10-08,15,14,36,22,20,32,25,36
2018-10-09,17,14,18,23,20,31,28,16
2018-10-10,19,14,18,22,20,31,28,16
2018-10-11,19,14,17,22,21,62,62,15
2018-10-12,38,16,17,23,38,31,30,15
2018-10-13,20,14,30,22,21,66,66,30
2018-10-14,38,26,26,24,38,31,32,15
2018-10-15,19,13,30,23,20,31,30,30
2018-10-16,18,16,30,50,50,31,33,30
2018-10-17,19,14,15,24,21,31,33,17
2018-10-18,19,13,15,22,29,31,23,17
2018-10-19,19,30,30,22,28,33,29,17
2018-10-20,19,13,15,23,22,33,28,17
2018-10-21,19,24,15,46,46,33,29,18
2018-10-22,38,18,17,22,20,34,29,38
2018-10-23,21,28,15,23,24,34,31,19
2018-10-24,21,28,15,23,27,35,32,19
2018-10-25,38,28,15,24,22,68,68,17
2018-10-26,38,45,45,23,26,34,28,45
2018-10-27,38,22,15,23,28,34,38,28
2018-10-28,18,33,15,24,25,34,39,28
2018-10-29,18,24,45,22,24,70,70,19
2018-10-30,18,16,30,22,29,33,30,19
2018-10-31,18,13,30,23,35,33,36,20
2018-11-01,18,14,30,25,32,66,66,42
2018-11-02,18,14,30,24,27,33,35,42
2018-11-03,19,12,16,24,32,33,35,20
2018-11-04,18,12,16,25,28,33,35,20
2018-11-05,19,24,16,25,28,33,41,20
2018-11-06,19,14,18,46,46,33,32,42
2018-11-07,36,16,36,23,29,33,39,20
2018-11-08,18,28,17,24,27,31,41,20
2018-11-09,18,19,17,25,30,32,33,20
2018-11-10,19,24,17,24,29,31,32,20
2018-11-11,19,22,15,27,30,31,36,20
2018-11-12,42,24,15,24,32,34,38,42
2018-11-13,42,36,15,24,27,33,36,42
2018-11-14,21,17,15,27,30,33,36,20
2018-11-15,40,17,15,25,30,34,35,22
2018-11-16,42,17,15,25,27,33,34,42
2018-11-17,42,13,15,24,35,34,33,22
2018-11-18,42,13,15,26,66,66,43,20
2018-11-19,42,17,18,25,26,66,66,22
2018-11-20,42,16,18,26,68,33,68,22
2018-11-21,63,42,18,25,66,66,37,63
2018-11-22,63,13,18,25,32,33,47,63
2018-11-23,22,17,18,24,35,34,42,42
2018-11-24,23,13,18,24,32,33,51,42
2018-11-25,23,26,18,24,27,34,44,22
2018-11-26,23,16,18,27,35,33,42,39
2018-11-27,23,15,18,24,36,33,47,38
2018-11-28,23,26,36,26,31,33,37,104
2018-11-29,23,13,17,24,30,33,46,97
2018-11-30,25,15,18,27,30,35,50,104
2018-12-01,23,13,17,27,68,68,48,100
2018-12-02,23,24,17,29,30,35,49,107
2018-12-03,24,14,16,28,29,34,43,169
2018-12-04,23,30,16,28,33,34,42,170
2018-12-05,23,13,16,28,25,32,41,169
2018-12-06,23,30,16,27,29,32,49,167
2018-12-07,23,22,15,28,33,32,40,169
2018-12-08,23,27,28,26,31,32,41,169
2018-12-09,23,27,14,27,29,32,44,165
2018-12-10,23,22,14,29,25,32,46,158
2018-12-11,23,22,14,26,29,32,40,157
2018-12-12,22,13,14,28,30,33,46,154
2018-12-13,22,14,16,26,28,31,43,153
2018-12-14,22,24,16,29,25,31,51,153
2018-12-15,22,16,17,28,27,32,48,154
2018-12-16,22,24,34,27,29,31,47,157
2018-12-17,22,27,17,29,28,31,46,159
2018-12-18,23,13,17,27,25,31,38,157
2018-12-19,22,36,17,27,24,29,41,156
2018-12-20,22,36,17,28,27,30,38,153
2018-12-21,40,27,17,52,52,31,36,158
2018-12-22,40,27,17,28,27,31,42,155
2018-12-23,40,36,17,27,26,31,39,155
2018-12-24,20,36,17,28,23,31,37,153
2018-12-25,20,45,17,52,52,31,38,149
2018-12-26,36,45,17,27,24,29,37,148
2018-12-27,20,27,17,28,23,29,42,146
2018-12-28,20,27,17,26,22,29,39,155
2018-12-29,20,8,17,28,25,29,37,156
2018-12-30,20,8,15,54,54,29,33,154
2018-12-31,20,16,15,58,26,58,42,150
2019-01-01,20,16,15,26,22,29,39,149
2019-01-02,20,45,15,26,25,28,37,150
2019-01-03,40,8,15,56,40,56,36,155
2019-01-04,20,30,15,26,21,28,36,154
2019-01-05,20,50,17,56,22,56,37,155
2019-01-06,21,40,16,26,36,28,43,161
2019-01-07,23,50,17,29,26,28,37,167
2019-01-08,23,36,16,56,26,56,39,166
2019-01-09,21,12,16,26,29,28,41,166
2019-01-10,18,30,32,26,21,27,28,150
2019-01-11,33,9,33,26,16,28,8,161
2019-01-12,12,0,0,0,7,12,0,10
2019-01-13,10,0,0,10,6,6,0,4
2019-01-14,11,0,0,11,11,3,0,4
2019-01-15,10,0,0,10,2,3,0,4
2019-01-16,11,0,0,11,11,3,0,4
2019-01-17,11,0,0,11,11,6,0,6
2019-01-18,12,0,0,12,12,6,12,6
2019-01-19,12,0,0,12,12,6,0,6
2019-01-20,9,0,0,9,9,6,0,6
2019-01-21,10,0,0,10,10,6,0,6
2019-01-22,8,0,0,8,6,6,0,6
2019-01-23,9,0,0,9,9,6,0,6
2019-01-24,9,0,0,9,6,6,0,3
2019-01-25,8,0,0,8,8,4,0,3
2019-01-26,8,0,0,8,8,4,0,3
2019-01-27,9,0,0,9,9,4,0,3
2019-01-28,9,0,0,9,9,2,0,3
2019-01-29,9,0,0,9,8,8,0,8
2019-01-30,9,0,0,9,9,4,0,9
2019-01-31,8,0,0,8,8,4,0,8
2019-02-01,8,0,0,8,8,4,0,8
2019-02-02,9,0,0,9,9,6,6,9
2019-02-03,8,0,0,8,6,6,0,8
2019-02-04,9,0,0,9,9,4,0,9
2019-02-05,9,0,0,9,9,9,0,9
2019-02-06,9,0,0,9,9,9,0,9
2019-02-07,8,0,0,8,6,8,0,8
2019-02-08,9,0,0,9,9,9,3,9
2019-02-09,0,0,0,8,8,8,0,8
2019-02-10,0,0,0,9,9,6,9,9
2019-02-11,0,0,0,10,10,10,10,10
2019-02-12,0,0,0,11,11,11,11,11
2019-02-13,0,0,0,10,6,10,10,10
2019-02-14,0,0,0,11,4,11,11,11
2019-02-15,0,0,0,10,8,10,8,10
2019-02-16,0,0,0,9,8,9,9,9
2019-02-17,0,0,0,10,10,10,6,10
2019-02-18,0,0,0,10,10,10,10,10
2019-02-19,0,0,0,9,6,9,0,9
2019-02-20,0,0,0,8,6,8,0,8
2019-02-21,0,0,0,8,8,8,0,8
2019-02-22,0,0,0,9,8,9,0,9
2019-02-23,0,0,0,9,6,9,0,9
2019-02-24,0,0,0,10,10,10,0,10
2019-02-25,0,0,0,10,10,10,0,10
2019-02-26,0,0,0,9,3,9,9,9
2019-02-27,0,0,0,9,3,9,4,9
2019-02-28,0,0,0,10,6,10,10,10
2019-03-01,0,0,0,8,8,8,8,8
2019-03-02,0,0,0,9,6,9,6,9
2019-03-03,0,0,0,10,4,10,10,10
2019-03-04,0,0,0,10,6,10,10,10
2019-03-05,0,0,0,10,6,10,10,10
2019-03-06,0,0,0,6,6,6,6,6
2019-03-07,0,0,0,7,3,7,7,7
2019-03-08,0,0,0,8,6,8,8,8
2019-03-09,0,0,0,8,6,8,5,8
2019-03-10,0,0,0,8,6,8,8,8
2019-03-11,0,0,0,9,6,9,9,9
2019-03-12,0,0,0,10,3,10,10,10
2019-03-13,0,0,0,7,10,7,10,7
2019-03-14,0,0,0,10,4,10,10,10
2019-03-15,0,0,0,9,6,9,4,9
2019-03-16,0,0,0,6,8,6,8,6
2019-03-17,0,0,0,8,8,8,8,8
2019-03-18,0,0,0,7,8,7,8,7
2019-03-19,0,0,0,7,8,7,8,7
2019-03-20,0,0,0,7,8,7,8,7
2019-03-21,0,0,0,6,6,6,3,6
2019-03-22,0,0,0,6,12,6,12,12
2019-03-23,0,0,0,8,4,8,6,8
2019-03-24,0,0,0,7,8,7,8,7
2019-03-25,0,0,0,8,10,8,10,8
2019-03-26,0,0,0,11,11,11,11,11
2019-03-27,0,0,0,13,13,13,13,13
2019-03-30,0,8,0,15,15,15,15,15
2019-03-31,0,0,0,14,14,14,14,14
2019-04-01,16,0,0,16,16,16,16,16
2019-04-02,0,0,0,12,6,12,12,12
2019-04-03,0,0,0,12,12,12,12,12
2019-04-04,0,0,0,9,8,0,9,9
2019-04-05,0,0,0,11,11,0,0,11
2019-04-06,0,0,0,12,12,0,0,12
2019-04-07,0,0,0,11,11,0,0,11
