date,AS7922,AS2119,AS8767,AS37100,AS15169,AS16276,AS13335,AS6830
2018-12-03,23,14,16,28,29,34,42,169
2018-12-04,23,15,16,56,56,34,41,169
2018-12-05,23,13,16,28,25,32,41,169
2018-12-06,23,15,16,27,28,32,49,166
2018-12-07,23,22,15,28,31,32,38,167
2018-12-08,23,27,28,26,29,32,41,167
2018-12-09,23,27,14,54,54,32,44,163
2018-12-10,23,22,14,29,24,32,46,158
2018-12-11,23,22,14,26,29,32,40,158
2018-12-12,22,13,14,56,56,33,47,152
2018-12-13,22,14,16,26,27,31,42,153
2018-12-14,22,36,16,29,42,31,48,152
2018-12-15,22,16,17,28,24,32,46,154
2018-12-16,22,24,17,27,26,31,47,156
2018-12-17,22,27,17,29,28,31,45,157
2018-12-18,22,13,17,27,25,31,38,155
2018-12-19,22,36,17,27,28,29,41,159
2018-12-20,22,48,17,28,29,30,39,155
2018-12-21,40,27,17,26,29,33,36,157
2018-12-22,40,27,17,28,27,31,42,155
2018-12-23,40,36,17,54,54,31,39,157
2018-12-24,20,36,17,28,23,31,37,153
2018-12-25,20,36,17,26,30,31,38,150
2018-12-26,36,45,17,54,54,29,36,150
2018-12-27,20,27,17,28,23,29,42,148
2018-12-28,20,27,17,26,22,29,38,155
2018-12-29,20,8,17,28,26,29,37,157
2018-12-30,20,8,16,27,30,29,33,155
2018-12-31,20,16,15,58,28,58,42,152
2019-01-01,20,24,15,26,28,29,40,151
2019-01-02,22,36,15,26,25,28,37,151
2019-01-03,20,16,15,56,22,56,38,158
2019-01-04,20,40,15,26,23,28,36,157
2019-01-05,20,40,17,56,24,56,37,158
2019-01-06,21,50,16,26,36,28,45,164
2019-01-07,24,60,17,58,58,28,38,169
2019-01-08,23,48,16,56,27,56,40,169
2019-01-09,21,12,16,26,30,28,42,168
2019-01-10,18,30,32,26,25,27,32,151
2019-01-11,24,36,16,27,29,28,36,171
2019-01-12,23,40,36,27,32,28,45,168
2019-01-13,23,30,36,27,25,30,54,163
2019-01-14,23,48,36,58,34,58,45,170
2019-01-15,23,36,16,28,34,30,42,164
2019-01-16,23,48,32,27,32,29,46,163
2019-01-17,23,20,17,28,34,31,46,167
2019-01-18,23,48,40,26,39,29,49,161
2019-01-19,23,20,20,27,36,29,50,161
2019-01-20,23,16,17,29,37,31,39,158
2019-01-21,23,26,20,29,34,31,48,158
2019-01-22,23,11,21,29,33,30,41,162
2019-01-23,23,11,19,28,33,30,47,161
2019-01-24,46,33,19,28,60,60,43,160
2019-01-25,46,36,20,27,60,60,49,157
2019-01-26,46,11,18,26,60,60,43,151
2019-01-27,46,22,20,26,34,31,43,154
2019-01-28,21,22,19,26,37,32,47,161
2019-01-29,21,11,19,27,35,31,45,160
2019-01-30,21,22,19,28,34,31,46,158
2019-01-31,19,22,15,26,37,31,49,152
2019-02-01,19,33,17,56,56,31,52,152
2019-02-02,17,11,15,28,30,31,54,149
2019-02-03,17,11,15,28,32,31,48,146
2019-02-04,19,44,17,29,39,31,40,153
2019-02-05,19,33,17,27,38,30,44,150
2019-02-06,44,44,17,29,33,30,45,152
2019-02-07,22,21,17,28,38,32,45,152
2019-02-08,19,21,17,28,24,30,51,154
2019-02-09,18,21,17,28,60,60,49,152
2019-02-10,18,22,17,27,32,29,50,152
2019-02-11,36,46,36,29,31,30,51,156
2019-02-12,36,48,36,48,28,30,45,156
2019-02-13,18,46,17,25,33,32,40,160
2019-02-14,18,48,17,48,34,32,49,159
2019-02-15,18,25,17,26,35,30,46,158
2019-02-16,18,50,17,50,33,30,45,160
2019-02-17,36,26,36,24,29,31,37,155
2019-02-18,18,27,30,24,70,70,39,159
2019-02-19,18,64,19,26,36,64,39,162
2019-02-20,36,62,19,26,33,62,40,162
2019-02-21,36,32,21,46,28,30,39,165
2019-02-22,36,34,42,23,31,30,40,165
2019-02-23,36,35,42,24,27,32,47,165
2019-02-24,36,33,46,26,60,60,46,163
2019-02-25,36,37,46,46,32,31,51,162
2019-02-26,18,43,23,21,33,30,48,161
2019-02-27,36,52,26,23,32,31,42,159
2019-02-28,18,45,26,20,38,30,39,160
2019-03-01,18,48,48,21,34,30,39,162
2019-03-02,36,44,48,22,35,30,36,158
2019-03-03,36,88,48,22,60,60,88,158
2019-03-04,36,44,23,21,33,31,37,160
2019-03-05,18,47,25,20,36,31,43,157
