sources,qcount,cumul_source_count
31146,1,16365
31403,1,16366
32350,1,16367
33913,1,16368
34577,1,16369
35586,1,16370
36801,1,16371
42275,1,16372
42764,1,16373
42878,1,16374
44885,1,16375
46224,1,16376
56191,1,16377
63015,1,16378
64733,1,16379
82013,1,16380
125723,1,16381
133364,1,16382
168263,1,16383
193883,1,16384
231037,1,16385
292120,1,16386
309005,1,16387
368283,1,16388
593280,1,16389
597654,1,16390
758371,1,16391
888105,1,16392
1034591,1,16393
1125665,1,16394
1567766,1,16395
1596658,1,16396
2648903,1,16397
2926735,1,16398
3271066,1,16399
3354322,1,16400
3676586,1,16401
6314570,1,16402
12581837,1,16403
