date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-03-15,1399998100,5100778541,343987,55,36721176,130240555,11123,8437507
2017-03-16,1408159448,5123337276,339731,6,30640218,134172219,3389,8462763
2017-03-17,1542089466,5381587808,337406,79,48200001,149417889,2987,8350946
2017-03-18,1279552898,4853287067,444979,0,28919984,128711368,3808,8336935
2017-03-19,1257879130,4759710520,354810,0,26668012,123238771,3480,8454456
2017-03-20,1435006744,5309317087,262680,43,31949175,136690561,3783,7992608
2017-03-21,1407480533,5142336514,296813,1,38108976,135359752,3006,7451759
2017-03-22,1443276105,5061030326,411024,0,51696412,141978126,2984,7637947
2017-03-23,1398374206,5003702874,266037,0,31713430,135037923,4603,7743233
2017-03-24,1390859327,4798780680,223452,0,30517097,131683166,3894,7389342
2017-03-25,1270486150,4597641751,302148,0,31881229,119598289,4148,7128439
2017-03-26,1224577063,4499142404,218685,0,30076433,116508912,3814,7106051
2017-03-27,1471376510,4756024801,316549,0,36643448,126139239,4151,7172397
2017-03-28,1449070842,4879995516,175643,1,32477497,133432661,3277,7296410
2017-03-29,1403604224,4873206630,298230,0,36697929,128794051,4480,7135408
2017-03-30,1420118890,4950379151,290627,0,42141571,130272297,5731,7656973
2017-03-31,1368806815,4556280208,287337,0,50489389,129961029,4838,7602446
2017-04-01,1299876392,4242336913,212556,0,58598534,116093997,4121,7579657
2017-04-02,1265048454,4180884742,315220,13,52688211,114379821,3001,7593382
2017-04-03,1217203724,4287588338,300440,23,28675292,116943815,3557,7140750
2017-04-04,1390466120,4917197170,588734,12,29573188,139021710,4289,7299336
2017-04-05,1212378553,4455548988,360378,5,26996545,115691235,2881,7722698
2017-04-06,1247205963,4771814233,478414,8,28657709,116673774,2852,7830353
2017-04-07,1288927561,4800615449,277973,3,32528155,115698742,2726,7944873
2017-04-08,1183301547,4569477310,201053,95,29454093,108219514,3375,7901892
2017-04-09,1165260296,4558010456,252407,0,27397286,107743341,3980,7969467
2017-04-10,1305090318,4947357279,227237,0,29216845,119047787,3210,7929516
2017-04-11,1352243530,4938873323,86585,0,33238228,122210272,5738,7769305
2017-04-12,1357701300,5068375838,109511,0,27986676,125392938,3704,7776000
2017-04-13,1345014727,4952968982,127436,0,29344797,124169938,3999,7551992
2017-04-14,1250621020,4502203079,82473,0,33979034,115351001,4512,7813230
2017-04-15,1143670477,3928225298,146292,0,28549868,104006417,3705,7973414
2017-04-16,1115404976,3890800413,158053,0,27058613,101226394,3444,7967947
2017-04-17,1209417658,4195613218,102109,0,29939263,109574178,4103,7562810
2017-04-18,1141944081,4367813968,149642,0,31609227,103302465,8502,8402
2017-04-19,1177096560,4638676605,169761,0,30203220,105645433,5035,1575
2017-04-20,1161142977,4604392655,93472,0,31978240,106594119,4655,2446
2017-04-21,1109925480,4613504950,82631,0,27245575,101739343,5231,430
2017-04-22,1060485795,4308534371,90629,0,25005469,100461411,3499,1147
2017-04-23,1030745391,4247711077,84779,0,22757684,96362065,3665,69583
2017-04-24,1149252292,4697718108,91567,0,23997199,108966345,2790,4438
2017-04-25,1463266628,5168301056,71364,0,57909652,115894315,3796,6379
2017-04-26,1094013992,4698750758,94720,0,16265173,106735014,3188,2297
2017-04-27,1074718313,4489633840,105778,0,20532962,101421316,5638,7711
2017-04-28,1112769633,4461948210,43472,0,21622090,98948257,3155,2309
2017-04-29,1014989903,4116568776,33257,0,20813125,85017265,2969,1040
2017-04-30,1023364858,4212284497,40298,0,19192163,86557295,2821,1896
2017-05-01,1049261598,4318519292,39877,0,21261307,90778737,3248,10880
2017-05-02,1057063292,4554042985,145555,0,18959557,107965451,3509,4914
2017-05-03,1189206078,4873271081,139560,0,22524729,107588300,3581,2309
2017-05-04,1127021430,4732054112,141407,0,20857477,105197024,3689,1677
2017-05-05,1047267765,4370381081,72037,0,18652035,104784324,3899,3691
2017-05-06,941727255,4085742319,47709,0,19116456,98742622,4350,2314
2017-05-07,861256885,3649750042,55483,0,17983341,84027429,3871,1424
2017-05-08,890742917,3724252540,58517,0,17931856,82900364,3199,1018
2017-05-09,1027273364,4399326430,86321,0,20992908,102911064,4149,1577
2017-05-10,987885341,4199637461,48231,0,21804552,97136787,3382,847
2017-05-11,1012637103,4464961681,104424,0,24812304,101598863,3492,3836
2017-05-12,993697619,4502594111,167996,0,23239316,102296203,4782,2286
2017-05-13,881089467,3933140961,96964,0,21961270,91436499,3627,6750
2017-05-14,883784109,4022851394,76052,0,21024145,89587214,3906,438
2017-05-15,983896146,4500420304,76542,0,22724855,103702191,3550,2956
2017-05-16,991342911,4406109533,95144,0,21209506,96222945,3860,354
2017-05-17,983880437,4422706948,85824,0,22574287,95632075,3993,7150
2017-05-18,828967345,4026443873,71974,0,20191105,89570145,3599,11797
2017-05-19,662932137,3288701443,41062,0,12446947,71083050,3064,2744
2017-05-20,853528131,3935676688,65813,0,20812219,87498609,3663,4583
2017-05-21,849136530,3972073730,66759,0,20785441,87239187,3793,1814
2017-05-22,902332603,4300850170,66234,0,21562937,99729291,3485,1958
2017-05-23,961884379,4343236433,81510,0,21843144,101565140,4090,1926
2017-05-24,974598429,3907423790,131518,0,20248056,94377376,4166,4749
2017-05-25,945828354,3847330050,79251,0,21094386,91877550,3982,7626
2017-05-26,935232902,3873215918,85690,0,21505087,93898556,4068,7113
2017-05-27,923271289,3965060389,74189,0,21447188,88623741,3970,1983
2017-05-28,896114898,3908487338,68333,0,20547609,84839661,3839,3494
2017-05-29,951630905,4075509256,88734,0,22645618,92384421,4649,3301
2017-05-30,926694445,4160903117,72281,0,22541089,92896910,3809,2425
2017-05-31,956146252,4186414994,148342,0,32800489,95798496,4047,2288
2017-06-01,1023921482,4471633490,78191,0,33957929,100063182,4041,958
2017-06-02,978058535,4336852960,83314,0,25233091,97155464,4150,1922
2017-06-03,914041678,4212399894,92353,0,26688109,93343782,3485,1952
2017-06-04,958411365,4104448432,109905,0,25089266,89718924,3274,1353
2017-06-05,1033951273,4375821790,110266,0,24637631,98951704,3397,8442
2017-06-06,998007379,4674920685,90986,0,23772156,102187517,4039,4083
2017-06-07,982326139,4851853009,71132,0,25344918,103595967,3854,1933
2017-06-08,959847180,4701121262,77049,0,26490034,102742396,3643,30666
2017-06-09,956800072,4646009544,68278,0,26110208,104370084,4048,32440
2017-06-10,883365262,4172015844,77327,0,24387353,101822834,4567,29843
2017-06-11,851969448,4070052615,63914,0,23936696,97643712,3987,24535
2017-06-12,931296056,4404568272,72026,0,27230605,109579708,4484,37686
2017-06-13,969167304,4585438698,77603,0,25604977,115142878,4410,20670
