date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-03-17,1402999036,6414193673,419216,0,2121788,91831932,108196,13170
2017-03-18,1109084909,5647753157,44406,0,1519023,83483931,107263,13268
2017-03-19,1137951849,5650934917,210248,0,1482556,81945100,98774,13492
2017-03-20,1269287305,5930045149,221610,0,1557793,88425359,106265,12690
2017-03-21,1263716431,5849778306,240678,0,1430478,90002184,94160,11618
2017-03-22,1308393449,6063108820,362441,0,1290180,96245316,92233,15001
2017-03-23,1297287595,6025025753,245524,0,1132768,94784496,89897,20606
2017-03-24,1345773779,6096982272,7227381,953621,1135589,95122169,88773,19564
2017-03-25,1182081424,5934555552,207911,0,745780,87933354,84777,19549
2017-03-26,1129744319,5716610812,198380,0,658184,84619457,85274,19273
2017-03-27,1555113488,6069037089,186490,0,1174695,93048597,92000,21815
2017-03-28,1453221698,5857142859,108969,0,961473,92983793,91377,20878
2017-03-29,1290707779,5703490262,260092,0,988632,87312975,89110,20196
2017-03-30,1230554183,5776396946,305320,0,864955,86680793,89405,21004
2017-03-31,1153849910,5402062937,320726,0,1393971,85789929,94446,25761
2017-04-01,1087468486,5216840340,115380,0,1076646,82803073,90902,23765
2017-04-02,1044018041,5089376488,258634,0,1046317,80087357,89271,24065
2017-04-03,1221942790,5492532123,168714,0,1566696,89697389,96289,30392
2017-04-04,1316482190,5770055837,162935,0,1796243,93404942,145353,66619
2017-04-05,1313048883,5622330143,149658,0,1887848,99936600,110261,37359
2017-04-06,1265982780,5522129812,205665,0,1732012,103058793,120263,43617
2017-04-07,1218653241,5545384879,112641,0,1469198,89725810,100071,27515
2017-04-08,1069589215,5171846149,99598,0,1193130,81045054,94943,20783
2017-04-09,1040015892,5094958588,74422,0,1262380,79524359,98508,22944
2017-04-10,1195921246,4730822749,121360,0,1418233,89749430,92212,21063
2017-04-11,1242343573,5676263060,72003,0,1549479,90881788,87161,14569
2017-04-12,1291185152,5611047302,253715,0,1606664,96205074,89601,10446
2017-04-13,1255431890,5648680270,223431,0,1408974,92609887,90380,10510
2017-04-14,1173136104,5578763654,107393,0,1484529,84862206,91563,11583
2017-04-15,1074510305,5334044282,183806,0,1370967,77730641,90624,12028
2017-04-16,1052519097,5176557678,172419,0,1266911,78157010,90109,11798
2017-04-17,1147293381,5502081972,95247,0,1366995,85391244,81079,13533
2017-04-18,1220096031,5403878201,393568,0,1564638,92033830,62931,19519
2017-04-19,1371476440,5564477460,286833,0,1790515,97296770,55999,19127
2017-04-20,1288001782,5517712342,134102,0,1654630,92690404,65576,16630
2017-04-21,1247865167,5206109541,80715,0,1576567,86044774,92924,9956
2017-04-22,1025086287,4764252748,72704,0,1474515,78788940,90200,11852
2017-04-23,1020981081,4592753676,75652,0,1277992,76994545,75331,16843
2017-04-24,1177906985,5152668757,97466,0,1441488,86844065,73673,15984
2017-04-25,1663918878,6096506123,93107,0,2052124,96746451,90006,8305
2017-04-26,1212786319,5301657547,128557,0,1345529,92324737,93091,8365
2017-04-27,1167247957,5184500641,97839,0,1189558,91758926,93745,9728
2017-04-28,1134417780,5225800706,93455,0,1194119,91430774,92585,9796
2017-04-29,1070117668,5152706908,78022,0,1135786,80943841,91154,10061
2017-04-30,1030634318,4929546065,76138,0,1073823,78633406,92404,10055
2017-05-01,1034730123,5009089684,105092,0,1113985,81955164,91582,8632
2017-05-02,1127314609,5300298497,158193,0,1092434,88611482,91731,7897
2017-05-03,1233618858,5584828014,101140,0,1031031,87989163,91850,7811
2017-05-04,1122362932,5303768072,141079,0,981471,86254562,92004,9390
2017-05-05,1057679849,5108158724,108919,0,1176027,84689106,89095,11216
2017-05-06,918900539,4846265981,84756,0,1174407,80144539,91594,10723
2017-05-07,956711008,4766252561,83120,0,1113399,78778486,90732,10884
2017-05-08,1087506590,5100732489,84586,0,991315,85027596,91954,10348
2017-05-09,1121841841,5178505652,102941,0,1103674,87478408,91090,11312
2017-05-10,1079034050,5131573798,68180,0,1157976,88408449,89387,11069
2017-05-11,1125637375,5160221266,88479,0,1137559,91770688,92184,11274
2017-05-12,1041622179,5112261598,240239,0,1261756,87875087,91976,10985
2017-05-13,912019500,4670566236,72645,0,1055454,81260821,77373,11516
2017-05-14,899546106,4605770372,66686,0,1103437,78057208,66085,10742
2017-05-15,1032365878,5048078649,65917,0,1178574,85792129,80512,11339
2017-05-16,1028833304,5108053291,69501,0,984083,87409623,90320,11037
2017-05-17,1033851104,5016087101,81664,0,926944,81840272,90932,13241
2017-05-18,1019767501,4990490478,72654,0,960292,80475210,93162,16022
2017-05-19,943651283,4692475656,60538,0,817741,69657934,89942,16335
2017-05-20,861597855,4562219520,53606,0,908018,62688997,89410,14236
2017-05-21,849917128,4478417908,68394,0,861934,63665676,89232,14416
2017-05-22,991270232,5076999134,63818,0,880363,71230677,89367,14693
2017-05-23,1026013481,5099761274,71279,0,897179,73529744,89320,14559
2017-05-24,1032826466,4980499797,148022,0,1072059,70817880,87851,14236
2017-05-25,1002117389,4973938025,72541,0,960114,68178381,89594,14107
2017-05-26,975998466,4955715160,102187,0,884571,65040564,89671,14995
2017-05-27,912760502,4711695066,75319,0,1023001,60919214,88946,14116
2017-05-28,911568364,4651068749,66088,0,846855,61807649,90020,14488
2017-05-29,1054852198,4978391186,111211,0,892799,66733061,89477,14583
2017-05-30,1091483378,4937606716,73528,0,969658,68492551,89579,14508
2017-05-31,1050954430,4930957241,158268,0,1143720,70244368,94838,9516
2017-06-01,1030893988,4916107178,56424,0,1087088,72577597,87710,12240
2017-06-02,985270355,4760294204,62555,0,941446,69873600,82682,13649
2017-06-03,865141865,4511893183,59749,0,678466,61916759,82100,11757
2017-06-04,891050674,4458091910,62901,0,726379,60372856,81955,11835
2017-06-05,1011641192,4862840465,135640,0,817534,66282400,83180,12358
2017-06-06,1024496620,4995032429,83645,0,881762,68588690,84803,11993
2017-06-07,1047743549,5110062716,70891,0,909992,94636871,81995,9825
2017-06-08,1072666362,5127240057,70571,0,916378,104101846,89998,11927
2017-06-09,1003316078,4847269745,68565,0,1062469,91767334,88418,12048
2017-06-10,871064009,4409914196,59159,0,622976,61478065,84949,9908
2017-06-11,806098907,4272861150,56203,0,605361,62491823,83639,10077
2017-06-12,925539648,4622944592,84740,0,637031,66227642,86838,9836
2017-06-13,1070021430,5032482222,71871,0,1156778,85493234,88784,9745
2017-06-14,1120731037,5033509079,77492,0,1991165,91254448,87512,9783
2017-06-15,1034927345,4991199817,96631,0,1269873,92414692,71594,9259
2017-06-16,1032899707,5075430718,82068,0,1203762,92918840,36139,9431
2017-06-17,958942030,4494010497,73880,0,1029014,96004961,36798,11024
2017-06-18,873440072,4383142187,56058,0,985738,78795131,36103,11171
2017-06-19,998101926,4959174623,53976,0,1961871,90630311,35089,10212
2017-06-20,1042588963,5125155808,60050,0,1337210,95161116,35076,11960
2017-06-21,1869644412,5500300448,69374,0,1417756,103226091,32007,16256
2017-06-22,1991115713,5612226210,218971,0,1793004,101828355,37490,26166
2017-06-23,1997331423,5481895779,862215,0,1552867,111069556,68461,26194
2017-06-24,1778600476,5165598079,677733,0,1307815,103553345,57230,26128
2017-06-25,1575356625,5016695105,567130,0,1051160,101344359,52712,26604
2017-06-26,1762349285,5497950678,858952,0,1214090,111968550,64182,25977
2017-06-27,1870460563,5694623419,858772,0,1251788,113137234,90630,25832
2017-06-28,1854461561,5452250908,901259,0,1306575,105038988,95685,24627
2017-06-29,1869500873,5742029987,903438,0,1190526,89565173,91702,23455
2017-06-30,1825805447,5624477023,892405,0,1232956,95039414,105650,23461
2017-07-01,1850035841,5413178910,683113,0,1035327,88265004,101880,24113
2017-07-02,1719157684,5207773410,635158,0,1018690,84505552,98869,24078
2017-07-03,1869340818,5602358809,930489,0,1237432,93585407,109939,23871
2017-07-04,1826449559,5553794673,927016,0,1288133,92093515,101847,24047
2017-07-05,1778694363,5471683244,794812,0,1287303,105775126,105440,29785
2017-07-06,1762214909,5317013155,787693,0,1363974,107853097,105348,25175
2017-07-07,1763148361,5118899960,906304,0,1266191,94640376,132299,34393
2017-07-08,1662417348,4863475324,596159,0,1083879,93190044,98533,23551
2017-07-09,1565351799,4749962464,521768,0,954165,90272051,98062,26153
2017-07-10,1767029923,5150742067,675957,0,1334376,94410884,100924,30628
2017-07-11,1811607035,5100322179,712090,0,1730442,104116652,93695,28458
2017-07-12,1689599608,4905156492,830541,0,1773923,94126402,95896,25797
2017-07-13,1881863816,5014562161,821350,0,1983275,109386687,108267,26303
2017-07-14,1697693909,5037896594,879634,0,1790929,107650218,89559,33569
2017-07-15,1599576176,4867047090,610431,0,1293436,97294057,88992,56404
2017-07-16,1543617129,4755635725,557487,0,1210754,93842847,88443,29279
2017-07-17,1826022755,5256747110,644953,0,1288580,110315590,113148,36998
2017-07-18,1859021768,5317685938,594538,0,1209224,118832534,116770,50679
2017-07-19,1973516420,5231993861,596087,0,1384304,115179455,144640,105587
2017-07-20,1862513609,5340497840,726035,0,1363391,115976837,205256,147146
2017-07-21,1719406377,5216069536,1611233,0,1134514,112956822,223101,152555
2017-07-22,1526936484,4803012968,463882,0,1080976,92691279,247520,202294
2017-07-23,1550871729,4766599564,440366,0,1154318,88303906,236192,204985
2017-07-24,1807105421,5227196750,1844305,0,1074972,107070767,175088,120712
2017-07-25,1888094212,4911354192,790403,0,1134325,107813952,131959,70221
2017-07-26,1890912429,4773538345,756811,0,930727,110352124,170276,137617
2017-07-27,1876193252,4985340515,769817,0,994035,116215840,75707,30349
2017-07-28,1828306722,5097053089,740334,0,1241617,102685914,82065,29940
2017-07-29,1873422110,4677221906,551128,0,1224925,95564229,78737,26044
2017-07-30,1807830316,4595474155,600081,0,964279,87984216,95334,34166
2017-07-31,2010894074,5132466879,814269,0,988034,104300517,78750,14103
2017-08-01,2032434166,5147440485,797058,0,1163264,115534173,52863,17245
2017-08-02,1984115013,4993282980,772126,0,1278270,110617317,35115,14767
2017-08-03,2053553659,5123603407,806948,0,1276478,115332004,37888,16804
2017-08-04,1890193914,5207065513,824470,0,1087874,120536582,62947,36722
2017-08-05,1914231004,4766131155,607337,0,1117695,102364616,33223,18264
2017-08-06,1862925721,4704764279,566905,0,1191402,97640130,33718,17959
2017-08-07,2071000754,5816257827,759630,0,1634948,127251928,47558,24707
2017-08-08,2043213709,5388030552,760177,0,1209910,125764054,40819,21952
2017-08-09,1977675481,5203744520,632978,0,1174589,124677620,48403,25722
2017-08-10,1905810722,5018539177,637181,0,1132625,109592283,55090,22696
2017-08-11,1853857165,5068620500,612372,0,1611070,109924036,42933,25980
2017-08-12,1701989055,4775122674,424572,0,1415766,95458690,42060,27374
2017-08-13,1706873439,4607221388,422417,0,1328926,93397987,49205,34895
2017-08-14,1889780066,5011245327,630341,0,1371486,103780546,51143,35884
2017-08-15,2015984998,4912731398,1884092,0,1032806,112781674,36748,20232
