date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-03-18,1256931712,3753405526,137365,0,2890791,84166668,1244,23722
2017-03-19,1224430668,3636024629,132875,0,2802539,84548174,1484,24642
2017-03-20,1462810508,4146317855,142756,0,2798806,81509249,1506,22384
2017-03-21,1451576339,4070927498,135927,0,2710848,86861513,1665,20833
2017-03-22,1452129439,4242500526,139923,0,2415643,94109509,1240,22897
2017-03-23,1464091345,4292715569,131089,0,2320156,92686785,1243,25910
2017-03-24,1506888413,4278309786,132633,0,2443892,88843625,1263,22278
2017-03-25,1410727259,3929485978,132573,0,2267216,77708069,1235,21754
2017-03-26,1296300859,3799333637,137126,0,3091098,87418117,1282,21865
2017-03-27,1494179370,4174902500,138592,0,5221763,94919007,1708,25369
2017-03-28,1484423464,4168069422,132097,0,3164102,102642433,1388,26552
2017-03-29,1434435503,4224667188,148344,0,3016809,98078903,1880,24194
2017-03-30,1414719433,4164681793,141082,0,2855511,93013611,1639,25042
2017-03-31,1329737838,3791934938,141752,0,3162391,92775115,2304,29444
2017-04-01,1235782714,3452318995,128289,0,1736295,90245714,2420,27523
2017-04-02,1155516614,3330565046,127164,0,2336881,88429597,1598,30719
2017-04-03,1295773635,3699726527,127647,0,2815391,89189861,2057,30036
2017-04-04,1355504286,4006480042,143565,0,3019334,90001188,13159,45682
2017-04-05,1358353931,4069461351,135682,0,3138486,93586290,11113,35360
2017-04-06,1385115951,4018939344,145501,0,2543235,92809585,18212,35129
2017-04-07,1392261236,3945401449,137103,0,2526496,88218193,6645,30140
2017-04-08,1225141511,3595670923,132584,0,1685482,84753369,1367,30314
2017-04-09,1189777848,3500082555,130416,0,2283270,83896667,1555,35072
2017-04-10,1373381459,3930022522,133978,0,2051591,89030366,2015,24081
2017-04-11,1381953306,4076695364,135880,0,2556233,87568660,1031,18372
2017-04-12,1403310707,4106707756,139689,0,2027004,90890525,1191,17593
2017-04-13,1368478917,4200050002,140436,0,2167977,91440566,1305,19071
2017-04-14,1278166105,3970424788,144095,0,1842176,87767331,1222,20411
2017-04-15,1213076699,3656916148,146335,0,1504234,82553450,1100,20737
2017-04-16,1271836977,3610812572,140485,0,1482134,77854206,1058,18689
2017-04-17,1444858718,3882746727,140761,0,2002318,89228459,983,18012
2017-04-18,1477660746,3935023430,192810,0,2137678,92964610,3135,19524
2017-04-19,1387169985,3958027561,159491,0,2621750,94042421,2158,18510
2017-04-20,1396906352,4071501617,177286,0,1937814,89750905,1343,17574
2017-04-21,1298050126,3866598613,143403,0,1690217,89221987,1191,16266
2017-04-22,1183743308,3468601841,139386,0,2251637,86644769,1494,16381
2017-04-23,1136649293,3406439112,131906,0,1529604,89067664,1068,18474
2017-04-24,1341732823,3983402543,137579,0,1947273,88957192,1055,19057
2017-04-25,1600590655,4406383846,154059,0,16152166,92212232,1225,17989
2017-04-26,1332221526,4027744977,138570,0,2364554,95812579,1311,19016
