date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-04-05,706882233,1607219522,57672,347,12118231,248538966,951,66
2017-04-06,650873718,1581504792,56884,376,11537088,236465734,783,52
2017-04-07,654507306,1546866385,54871,414,10677201,231481715,731,49
2017-04-08,592579724,1458014688,56178,328,9996390,218916657,716,496
2017-04-09,573715717,1465696835,58257,444,9932457,213208627,1681,83
2017-04-10,611275767,1514467725,53842,128,11501679,214757219,811,35
2017-04-11,598241654,1562056263,52241,8,11414180,204530860,845,12
2017-04-12,596026051,1534045335,59793,4,12748562,206551894,1061,426
2017-04-13,617213212,1613577162,62555,0,10944907,219520068,1097,10
2017-04-14,607096041,1518933011,56799,0,10464977,214759332,1243,10
2017-04-15,572853657,1410466999,58025,0,10016599,204938372,1153,10
2017-04-16,579245310,1403644904,56131,1,10307705,207748330,1346,10
2017-04-17,633239619,1537170905,56040,0,10542141,231847886,926,11
2017-04-18,610581700,1529522098,70240,0,10467627,212846310,3280,9
2017-04-19,621189721,1507538407,67227,0,9859960,207877565,1816,14
2017-04-20,621047678,1519365238,58946,0,9046648,195752854,1290,11
2017-04-21,582734148,1480198668,56110,0,9416453,182856553,1068,9
2017-04-22,534924497,1353744073,58329,0,7982248,168715819,1009,10
2017-04-23,526910213,1368206568,57280,0,7660368,170581194,954,10
2017-04-24,606398308,1511216993,54392,0,7328434,193556582,740,10
2017-04-25,784008324,1618813850,58959,1,19327915,249740317,2259,10
2017-04-26,623072502,1521273306,57129,0,8944005,196797841,1037,9
2017-04-27,610046374,1503760009,58873,1,12320088,179328178,847,10
2017-04-28,639126449,1510156962,63193,0,7877898,182088565,858,10
2017-04-29,706094256,1515976240,58267,0,8763226,205900867,849,10
2017-04-30,657128345,1463433080,61142,0,8472602,196141704,931,15
2017-05-01,683353713,1520427447,61775,0,8298662,212046045,897,10
2017-05-02,622361291,1562101498,61278,0,7753839,199499809,898,10
2017-05-03,742724794,1609643697,64508,0,8158447,215148995,1162,10
2017-05-04,731499850,1557001677,66006,0,8506609,204168942,1160,8
2017-05-05,684864354,1544292720,63835,0,6956593,184766222,952,8
2017-05-06,558025932,1421880690,60523,0,7510220,175838469,1129,8
2017-05-07,484924452,1332686321,60372,0,6327274,164561162,1118,8
2017-05-08,584094925,1557673767,64111,0,8143332,186658258,978,8
2017-05-09,580869079,1606301058,65392,0,6896425,189598252,1055,8
2017-05-10,569138847,1552541064,66264,0,7457763,190687984,1004,13
2017-05-11,611967983,1619642711,61922,1,7339350,200880210,1024,10
2017-05-12,617374629,1628773449,68867,0,8428422,204797533,973,8
2017-05-13,551183845,1447530678,61319,0,7760742,193991299,1068,8
2017-05-14,533369418,1399795055,65244,0,7142234,189753440,2696,9
2017-05-15,606661061,1542855144,64843,2,9651074,211070713,1295,8
2017-05-16,606269163,1547124996,64829,0,9960648,199917373,1151,8
2017-05-17,605279331,1550289383,64174,1,9624862,197785206,1130,12
2017-05-18,597982224,1571763849,64952,1,7974677,200838023,1293,9
2017-05-19,593018104,1543024981,64821,0,8353518,199095146,1023,9
2017-05-20,547425904,1422410075,64841,1,8577667,184506823,1137,0
2017-05-21,548164045,1424253476,64067,0,8229748,190542617,1265,8
2017-05-22,598390848,1551062998,65060,0,8908453,203132711,1180,8
2017-05-23,581625046,1465243670,63605,0,8402093,205881677,1176,8
2017-05-24,612083975,1548679962,64557,0,8773976,203548728,1121,424
2017-05-25,604119918,1534737546,63791,0,8125170,200665843,1263,9
2017-05-26,581068444,1483020456,63099,0,7844064,190824952,1158,10
2017-05-27,558671690,1406510720,63696,0,8143935,186567668,1094,8
2017-05-28,536742640,1366893759,63745,0,7831148,177427077,1123,8
2017-05-29,583529389,1471640091,69570,0,10509319,193074457,1181,9
2017-05-30,578500398,1518185240,64400,2,9046353,192605901,1237,8
2017-05-31,571177681,1491659173,63066,0,8960776,187051611,1033,8
2017-06-01,591729337,1562387619,60956,0,8087507,203276977,1243,8
2017-06-02,563422788,1515682198,62256,1,7901045,191440286,979,8
2017-06-03,531089846,1412982793,63070,0,7844314,195372513,1081,8
2017-06-04,532377187,1421857917,66856,0,6811563,187053846,1158,0
2017-06-05,579933039,1542727623,64774,0,8559213,202017794,1074,9
2017-06-06,586933339,1625757293,65788,1,6864441,210695212,1320,8
2017-06-07,597282948,1637952546,65108,0,5976445,207177191,1201,8
2017-06-08,584870986,1540782958,66825,0,6596622,199392494,1149,8
2017-06-09,581447317,1583834036,63422,0,7683847,202147214,1214,8
2017-06-10,539855434,1550236195,67236,0,7120490,193418025,1272,8
2017-06-11,523499358,1445361415,63487,0,6327022,186341839,1317,8
2017-06-12,566085170,1559574897,64035,1,7449858,196745496,1385,8
2017-06-13,572992524,1597046507,63474,0,6989787,199447940,1288,9
2017-06-14,576713431,1593000901,65889,0,7333637,205934847,1385,8
2017-06-15,569007091,1603325493,66103,0,7059151,210098741,1267,11
2017-06-16,561387523,1608347293,67111,0,7375158,209620610,1291,9
2017-06-17,513552708,1479491544,65803,0,7347996,194396011,1467,2
2017-06-18,939069,1096650,29,0,244,86648,0,9
2017-06-19,1194631,1283715,26,0,238,106533,0,0
2017-06-20,1768748,2110454,124,0,12014,713058,1,10
2017-06-21,1789687,2172610,171,0,14431,718778,8,9
2017-06-22,2013818,2031988,369,0,12451,713238,4,30
2017-06-23,1689103,1816711,279,0,11154,665867,10,9
2017-06-24,1759775,1771724,212,0,9712,614622,7,450
2017-06-25,1914480,1876205,381,0,10640,693842,7,258
2017-06-26,2035732,2331456,460,0,11500,710653,9,9
2017-06-27,1698279,2104227,568,0,11581,737588,8,12
2017-06-28,716574,1555086,97,0,205,116594,6,9
2017-06-29,1112932,1451223,94,0,126,136356,16,14
2017-06-30,1062073,1297931,60,0,137,173368,5,452
2017-07-01,947304,1255860,66,0,147,95932,8,9
2017-07-02,951052,1305818,450,0,112,109716,3,9
2017-07-03,1101431,1366406,99,0,127,129415,1,11
2017-07-04,1123661,1278034,65,0,94,137342,0,11
2017-07-05,1132160,1412301,81,0,123,150720,1,9
2017-07-06,1212135,1405744,86,0,563,140034,2,10
2017-07-07,1004123,1184477,57,0,427,130661,4,9
2017-07-08,844246,1220532,97,0,152,109160,4,9
2017-07-09,722758,1233142,90,0,128,137000,2,10
2017-07-10,625730243,1517843653,321615,21,23794066,215556996,177916,12
2017-07-11,671819557,1537795467,361671,21,24176530,222377626,171586,1
2017-07-12,630107731,1546428375,314077,18,24541230,213948741,194154,9
2017-07-13,646349552,1552333602,333334,15,19382881,216401601,208731,10
2017-07-14,582125475,1531878646,307373,21,11127945,207216477,176766,9
2017-07-15,610859885,1415623901,222187,10,9676877,195109689,156695,9
2017-07-16,532215931,1417054025,220767,16,8483400,191207534,128874,0
2017-07-17,603325362,1543893909,295598,22,8375040,199910743,50981,14
2017-07-18,605135276,1547939433,278106,27,8007904,205177211,55738,8
2017-07-19,590185643,1546238025,268764,46,8558340,197352184,112449,103
2017-07-20,606329592,1557713271,290091,317,8955703,213197587,168769,79
2017-07-21,575987117,1546015592,297994,365,9131265,204993001,131962,108
2017-07-22,542138652,1420636184,182480,375,9015834,193118625,151853,84
2017-07-23,545918427,1405473767,178487,418,9169185,199539053,143734,101
2017-07-24,591782793,1543107939,303664,380,11825969,205346496,158074,8
2017-07-25,598105501,1558641974,313174,218,12806124,209052034,178137,10
2017-07-26,605821769,1548853645,308669,258,13026892,217274360,177149,8
2017-07-27,621560655,1539221130,303743,99,12566213,212478506,103900,8
2017-07-28,603382037,1466844189,290692,132,12393566,197385925,107909,23
2017-07-29,590015094,1378598250,187683,113,10736337,190422043,89518,25
2017-07-30,568885065,1345248051,172377,179,10375499,184706264,104206,8
2017-07-31,565626284,1497390018,276639,11,11737369,200804940,206602,9
2017-08-01,577306798,1607377088,304013,0,12291931,211640159,229979,0
2017-08-02,606086523,1552610705,308362,40,11370554,211501315,229844,8
2017-08-03,587894558,1547944440,320079,35,9758761,208318226,245611,9
2017-08-04,595697364,1562609968,297148,214,10003618,222442576,313095,8
2017-08-05,548095149,1433112993,197413,137,9715474,201211630,269034,9
2017-08-06,561593566,1422929030,197524,58,9886215,220722694,293690,8
2017-08-07,656877943,1695316436,282123,233,13669782,258742576,292682,13
2017-08-08,635914173,1645144357,300418,196,11397064,233833133,239525,10
2017-08-09,643628048,1602539609,294872,211,11367041,222765138,175063,451
2017-08-10,630682604,1600978821,319766,264,13920531,219820910,135696,14
2017-08-11,598364217,1602628381,292828,180,14614874,221107923,145133,8
2017-08-12,570236438,1508955789,187466,228,12399204,205060785,57584,9
2017-08-13,552069017,1425238057,185187,235,12178843,198463418,51329,9
2017-08-14,616714455,1534642608,283302,217,13565107,214807967,157244,9
2017-08-15,700416420,1531743020,294326,79,12980212,210412392,122085,8
2017-08-16,794113097,1600385823,311866,171,13117982,211894108,162997,8
2017-08-17,743262287,1599321907,354782,28,11238984,220739708,174620,8
2017-08-18,587547944,1467689973,319463,24,11644949,193326812,36651,8
2017-08-19,568375510,1427428114,229451,76,13719362,194253393,13155,8
2017-08-20,579800425,1434689758,206057,734,12451819,197066271,17748,12
2017-08-21,652536277,1537558607,307883,398,13770743,201942214,18084,8
2017-08-22,638934951,1558570832,356487,216,13679756,216658255,22924,10
2017-08-23,587853061,1473057967,310544,180,12608972,209121061,18907,18
2017-08-24,654135793,1466432569,364968,323,12974502,257276190,22228,29
2017-08-25,625503515,1474590704,321377,166,12484172,252121918,14224,9
2017-08-26,708670269,1478966981,230362,188,33124127,286219512,11789,8
2017-08-27,632824028,1432465645,195274,13,21133981,265180862,12830,24
2017-08-28,686510194,1475177590,312131,410,12644137,235495699,21240,34
2017-08-29,643995064,1572400837,355370,453,12576984,251070196,21947,21
2017-08-30,656758154,1493140889,351901,203,13219154,248703206,22155,15
2017-08-31,639652682,1498397106,381576,652,13640956,249988757,25914,19
2017-09-01,620286251,1420275392,297355,434,12485174,245995279,17101,0
2017-09-02,584569178,1338537332,209718,1300,13109219,230663744,16986,0
2017-09-03,590897602,1330489893,205966,2026,13081945,229253111,16952,74
2017-09-04,700540326,1460434017,274717,2633,13734406,236272556,18534,32
2017-09-05,671702850,1529642841,307105,942,11875535,256481077,22737,25
2017-09-06,687401058,1555234147,303747,1172,10126850,259814942,22558,80
2017-09-07,711880496,1480610990,300273,1150,8696038,244740110,27851,48
2017-09-08,768601785,1515325454,289488,898,10464152,242518784,19295,47
2017-09-09,710958077,1336601327,197771,951,9628110,242303031,13379,27
2017-09-10,624885209,1374507249,185066,1030,9471018,240822218,13969,61
2017-09-11,651874372,1496182652,301071,1358,11992736,252739229,18288,83
2017-09-12,651042662,1515557385,324940,1564,9934920,249789102,20217,61
2017-09-13,734751502,1495907682,317319,970,9423545,254446409,20365,42
2017-09-14,764450664,1516965378,324766,1885,10079616,247749080,17307,59
2017-09-15,850161407,1436725719,283814,1169,8481699,232700383,15150,50
2017-09-16,658512521,1321169157,178926,1555,7366734,224839317,12365,19
2017-09-17,669149121,1307359532,164391,1591,7008128,226261585,13126,46
2017-09-18,724293616,1415577702,283264,457,8979495,233356803,18601,48
2017-09-19,630068262,1415712412,1367054,827,8858405,236188614,42077,20
2017-09-20,617150870,1403509281,2928026,0,8878784,233027277,75019,17
2017-09-21,614261519,1396303509,3022869,0,9307487,240512639,75916,17
2017-09-22,634510501,1438602049,3207325,0,8636821,241305430,71057,55
2017-09-23,555707616,1250417006,3013803,0,8280209,227525433,62538,27
2017-09-24,546536724,1221079489,2845926,0,8489492,230900472,59125,17
2017-09-25,580096966,1392036924,3060396,0,10059149,234561446,73655,34
2017-09-26,600700417,1431896773,3138767,0,10461097,245865141,73705,8
2017-09-27,626070065,1462720940,3115249,0,10425737,243437426,71854,8
2017-09-28,692733020,1463143640,3119751,0,10243735,232515950,60950,8
2017-09-29,621307564,1520376956,3061617,0,10636171,250510903,263763,17
2017-09-30,606358924,1403663598,3115880,0,10159488,248402700,213708,13
2017-10-01,662678531,1388250926,3168647,0,9342748,250607387,182043,8
2017-10-02,649005066,1488581214,3266511,0,9419872,245710149,222460,8
2017-10-03,599372021,1494367194,3327325,0,8837748,237489667,250792,8
2017-10-04,623201808,1472686709,3444564,0,8641241,245065420,265285,9
2017-10-05,687559175,1459750039,3309844,0,9284360,248016075,253921,12
2017-10-06,616896937,1503032339,3302405,1,7935045,241686850,197331,8
2017-10-07,585277969,1455627971,3126653,0,7579290,230645190,173950,11
2017-10-08,620030651,1375040784,2938740,0,7505481,234018340,189683,8
2017-10-09,638139065,1469383066,3060948,0,9171875,248325335,250499,11
2017-10-10,635961710,1492444486,3174741,0,8677352,256233442,247898,2
2017-10-11,694655194,1593365012,1943788,3,10128476,323248429,222080,9
2017-10-12,737491734,1575435441,335427,61,9231428,361693196,166296,11
2017-10-13,654426991,1406805266,315622,60,7833618,247810057,186777,8
2017-10-14,660827006,1357130737,220499,90,7071125,245625949,163100,8
2017-10-15,679492527,1484135404,212233,97,7224418,250968968,149791,10
2017-10-16,682435791,1504041033,314515,93,9665443,257540014,107465,11
2017-10-17,624255264,1501571494,335889,50,11078147,254189761,59345,10
2017-10-18,639023971,1481602348,329824,102,9726099,267606746,212877,9
2017-10-19,602996680,1469198517,387984,210,10517129,255222979,213394,11
2017-10-20,609495956,1435674436,342561,74,12002365,257252608,203001,9
2017-10-21,573169765,1341287831,218668,60,11610262,251045219,158410,11
2017-10-22,565293949,1326513977,202477,73,10899876,252696184,124092,9
2017-10-23,557392058,1290444759,391598,59,8831153,252667228,228967,30
2017-10-24,508140813,1179559965,492245,160,7354043,242493053,259988,12
2017-10-25,539299819,1320063465,531809,107,5495433,256836663,230277,11
2017-10-26,531220173,1343488103,516205,71,5768250,237628273,114701,29
2017-10-27,541571707,1357867724,513264,30,6168134,233228909,39369,23
2017-10-28,550724949,1330687941,420738,35,7982236,238780255,36620,29
2017-10-29,554546433,1414239811,430545,111,7244428,239970838,40240,26
2017-10-30,633073074,1436523038,534150,79,7715171,234640558,47406,12
2017-10-31,636596762,1482861688,545406,224,8846967,225422270,29935,59
2017-11-01,583758895,1434543236,534785,169,7856689,233529858,22038,72
2017-11-02,602220295,1415802658,530613,698,8359325,240887583,23126,68
2017-11-03,634949581,1355108292,490085,1182,8140375,237989477,21291,127
2017-11-04,575739159,1315271488,220968,1387,6818035,249047633,12173,177
2017-11-05,566915790,1328565164,188764,1252,7094008,240205142,11911,12
2017-11-06,606813914,1387128316,301486,383,7606852,225579482,17178,64
2017-11-07,703811476,1389812711,297370,484,7222651,222636660,15499,38
2017-11-08,694959254,1641172628,376334,412,8819108,248262867,44546,22
2017-11-09,718322877,1791311431,401780,420,10162829,267968314,110470,28
2017-11-10,657813668,1740062426,365262,443,9112231,271968907,105657,47
2017-11-11,599633677,1597746841,236335,440,7750335,240064832,68705,24
2017-11-12,586324832,1636279289,220365,227,7460289,240588540,62328,40
2017-11-13,643872295,1606717333,370165,256,9572674,237670442,72775,209
2017-11-14,457707397,1332639224,338737,230,6641848,135736060,45830,527
2017-11-15,441423135,1324285632,342109,177,5742733,137571558,83932,155
2017-11-16,460848424,1336546732,316352,786,7028060,149107318,249615,40
2017-11-17,477204539,1341960290,333971,209,7827837,157770419,224368,33
2017-11-18,426719059,1224244794,248459,550,5716809,143787465,177083,31
2017-11-19,430130109,1226148322,208763,446,5670043,150526443,148382,31
2017-11-20,478608725,1345940909,286485,348,6892411,163663998,238028,79
2017-11-21,480358200,1351338864,341517,565,6960774,162442257,235461,53
2017-11-22,462741891,1342624366,384273,617,6972064,148055538,237603,67
2017-11-23,439794402,1301132096,279884,372,6865125,136678049,231233,39
2017-11-24,433973201,1302651680,293884,49,6353646,142942777,209073,13
2017-11-25,455478494,1232728994,230793,188,5917442,138789028,157309,38
2017-11-26,539243787,1222032914,208682,145,5919599,143583183,152548,81
2017-11-27,651064989,1304685150,315964,230,6397806,153553679,220517,78
2017-11-28,571456517,1298106988,347320,381,5926953,171095706,220248,93
2017-11-29,540342333,1372178416,330988,256,6087260,187529192,210332,61
2017-11-30,541083238,1309248204,316093,203,5399413,178338624,192954,20
2017-12-01,606465411,1258127169,320087,397,4674679,170245726,162673,69
2017-12-02,574603442,1185927446,220155,171,4173305,158485922,134147,52
2017-12-03,438060332,1178596878,204144,546,3815557,157934508,131771,78
2017-12-04,464659543,1254784321,278049,276,4604583,158711985,194870,40
2017-12-05,448383409,1282572210,303747,113,5233816,143190585,173348,79
2017-12-06,535264522,1298797664,369876,251,6133679,142966892,173335,80
2017-12-07,2070440842,3945753091,512783,491,6851606,299348890,218355,23789
2017-12-08,2022508153,3886896470,553129,610,6617755,286819430,179996,31747
2017-12-09,2076213125,3752486205,337838,237,4555146,257061143,144382,11854
2017-12-10,2030025114,3720833040,325397,130,4810054,279546633,137517,13974
2017-12-11,1944862653,4072109124,473925,239,7152515,286152434,203102,27347
2017-12-12,1825846094,4044573412,497729,283,6851703,300703294,208851,62964
2017-12-13,1840442213,4066008220,574023,232,6980150,307644560,211507,33835
2017-12-14,1832543259,3980582854,598422,252,7139083,309704307,190233,44531
2017-12-15,1738493373,3920362293,574847,226,6782728,314037579,196187,6037
2017-12-16,1627552725,3682122696,429937,677,5603101,289720610,154667,39759
2017-12-17,1556313872,3577354131,423721,177,5286431,286907720,143043,16715
2017-12-18,1731841514,3777309055,612121,283,6314672,303105795,219271,29154
2017-12-19,1685950561,3713267646,649556,871,6429466,311556750,210562,35291
2017-12-20,2080513818,3658702087,2916440,278,7785822,318122597,345709,23649
2017-12-21,2125211902,3654586051,5171743,1,5823359,319321791,458835,27898
2017-12-22,2110158536,3540398436,5074099,1,5069984,315780967,439280,103782
2017-12-23,1493457739,3297484069,4897567,1,4722686,268383225,407559,78975
2017-12-24,1487476569,3296851771,4853275,1,4831461,269041556,392807,96179
2017-12-25,1522302164,3250568872,4732996,1,5243601,262819072,343936,115139
2017-12-26,1611444836,3371654655,4698454,1,6798135,258914259,271022,164728
2017-12-27,1730245256,3528403098,4669477,1,6759714,322805659,368375,134453
2017-12-28,1721690229,3507420472,4685505,1,6624665,309505597,360030,237061
2017-12-29,1719050152,3435978836,4629304,4,6080493,307366044,357369,1017391
2017-12-30,1974677815,3269517058,4445079,2,5411883,269282483,343033,1078335
2017-12-31,2094331573,3263586403,4550455,1,4753548,276317059,327339,639540
2018-01-01,1858311438,3256124429,4642913,1,5074736,270434519,330695,257056
2018-01-02,2054350287,3441050539,4854257,2,6036927,282491957,368386,373859
2018-01-03,2154955075,3531645555,4856590,2,5414223,277959400,383028,395015
2018-01-04,2076270915,3459494178,4989809,2,6202704,275078598,390210,548673
2018-01-05,1957496798,3855646718,5128150,1,6738708,282097940,388965,879456
2018-01-06,1659361281,3741270692,4893113,0,5669375,281109578,362605,218658
2018-01-07,1645429991,3693834399,4565057,2,5546407,287113804,340526,204078
2018-01-08,1789480216,3911194160,4810704,1,6188696,290252599,388770,155152
2018-01-09,1639274217,3835290037,4709072,0,7051256,281664885,384886,101254
2018-01-10,1706798579,3951147725,4791701,2,6694969,297456721,396327,104936
2018-01-11,1702305402,4058476227,2435587,248,6606757,304552835,274567,123480
2018-01-12,1610641976,3938504934,509671,191,7423521,315232142,184019,110591
2018-01-13,1492302317,3773137155,368179,265,5690500,297833154,131465,32068
2018-01-14,1494628358,3744365999,444908,523,5778019,313551653,123247,47000
2018-01-15,1754932152,4003656866,571740,213,6484505,324672688,179213,76673
2018-01-16,1924421044,4063441747,625122,663,5957282,346055610,182691,71075
2018-01-17,1755077219,4091795830,622082,222,6917870,350352456,171276,76332
2018-01-18,1829360582,4056802660,627436,196,6567136,342722256,154078,34668
2018-01-19,1724794762,3755389498,564182,504,4217268,299257659,164336,54266
2018-01-20,1672935991,3608041343,444895,133,3948345,300399049,134285,23492
2018-01-21,1639784835,3598794229,441970,212,4948355,307508559,113952,45486
2018-01-22,1707801945,3996075585,605581,134,6178330,313625133,179358,27743
2018-01-23,1626474178,3674098110,638054,598,5553346,278651284,183595,31472
2018-01-24,1576038403,3902510413,612522,223,5391736,266486352,195761,31415
2018-01-25,1595829462,3728032934,571030,449,5827500,268315646,174455,45666
2018-01-26,1486255533,3449313055,545840,48,3985047,257643874,177547,24707
2018-01-27,1471078180,3586910051,431216,157,3687474,269662021,133228,28665
2018-01-28,1434405781,3512153121,454793,548,3629783,278784097,118897,36676
2018-01-29,1617345393,3582170642,600634,358,5818506,294182856,175760,33905
2018-01-30,1672706209,3404826314,582473,604,8848451,298596769,181274,21290
2018-01-31,2267456390,3038109479,542076,84,32595921,276932158,182833,13124
2018-02-01,4012054689,1213113217,425246,72,139587801,134275614,179795,42
2018-02-02,0,0,0,0,0,0,0,0
2018-02-03,4026309148,1161893764,297195,183,121090253,137784705,130432,0
2018-02-04,3851224998,1168189253,286985,228,98095151,132257607,114896,0
2018-02-05,4094954831,1221184213,402046,164,106841211,129620688,174531,0
2018-02-06,4122282182,1203705294,446922,317,112977138,123759152,178080,0
2018-02-07,4030450337,1200070102,428648,132,108211221,124269732,175124,0
2018-02-08,3943468522,1196865176,410791,353,105085642,118773980,211541,994
2018-02-09,3899725575,1214329795,420979,125,106425780,129693348,173926,1011
2018-02-10,3806394170,1122164622,305544,380,103117982,123932674,118808,48
2018-02-11,3731244451,1118926081,299301,414,100912299,123774116,106886,32
2018-02-12,4045379756,1216725182,435121,505,110269352,129996920,181133,50
