2018-11-18 IP-3540265 19036,20326 2
2018-11-18 IP-3540266 19036,20326 2
2018-11-18 IP-3540267 19036,20326 1
2018-11-18 IP-3540268 19036,20326 1
2018-11-18 IP-3540269 19036,20326 1
2018-11-18 IP-3540270 19036,20326 1
2018-11-18 IP-3540271 19036,20326 1
2018-11-18 IP-0876409 19036,20326 1
2018-11-18 IP-1502376 19036,20326 1
2018-11-18 IP-2440797 19036,20326 2
2018-11-18 IP-3540272 19036,20326 1
2018-11-18 IP-3507668 19036,20326 1
2018-11-18 IP-2323841 19036,20326 1
2018-11-18 IP-0907580 19036,20326 1
2018-11-18 IP-3540273 19036,20326 1
2018-11-18 IP-3540274 19036,20326 751
2018-11-18 IP-1063626 19036,20326 1
2018-11-18 IP-2338500 19036,20326 1
2018-11-18 IP-3540275 19036,20326 1
2018-11-18 IP-3540276 19036,20326 1
2018-11-18 IP-3363535 19036,20326 1
2018-11-18 IP-3507673 19036,20326 1
2018-11-18 IP-3540277 19036,20326 1
2018-11-18 IP-3530038 19036,20326 5
2018-11-18 IP-3540278 19036,20326 1
2018-11-18 IP-3540279 19036,20326 1
2018-11-18 IP-2922613 19036,20326 1
2018-11-18 IP-3519069 19036,20326 1
2018-11-18 IP-3540280 19036,20326 1
2018-11-18 IP-3540281 19036,20326 2
2018-11-18 IP-3376074 19036,20326 4
2018-11-18 IP-3061618 19036,20326 2
2018-11-18 IP-2499697 19036,20326 1
2018-11-18 IP-3454218 19036,20326 1
2018-11-18 IP-0504956 19036,20326 1
2018-11-18 IP-3540282 19036,20326 1
2018-11-18 IP-3540283 19036,20326 1
2018-11-18 IP-3540284 19036,20326 2
2018-11-18 IP-1607728 19036,20326 1
2018-11-18 IP-3540285 19036,20326 1
2018-11-18 IP-3431991 19036,20326 25
2018-11-18 IP-1464686 19036,20326 1
2018-11-18 IP-3495723 19036,20326 1
2018-11-18 IP-3530044 19036,20326 3
2018-11-18 IP-3540286 19036,20326 1
2018-11-18 IP-3507688 19036,20326 1
2018-11-18 IP-1708258 19036,20326 1
2018-11-18 IP-3540287 19036,20326 1
2018-11-18 IP-3540288 19036,20326 1
2018-11-18 IP-3519083 19036,20326 1
2018-11-18 IP-3474304 19036,20326 13
2018-11-18 IP-1464694 19036,20326 1
2018-11-18 IP-3540289 19036,20326 1
2018-11-18 IP-0684787 19036,20326 1
2018-11-18 IP-1048118 19036,20326 1
2018-11-18 IP-3540290 19036,20326 1
2018-11-18 IP-3540291 19036,20326 1
2018-11-18 IP-0967806 19036,20326 1
2018-11-18 IP-3540292 19036,20326 1
