created_hourly,all,Google,Cloudflare,ISP
2018-10-11 09:00:00,0.0,0.0,0.0,0.0
2018-10-11 10:00:00,0.0,0.0,0.0,0.0
2018-10-11 11:00:00,0.0,0.0,0.0,0.0
2018-10-11 12:00:00,0.0,0.0,0.0,0.0
2018-10-11 13:00:00,0.0,0.0,0.0,0.0
2018-10-11 14:00:00,0.0,0.0,0.0,0.0
2018-10-11 15:00:00,0.0,0.0,0.0,0.0
2018-10-11 16:00:00,7.162828947368421,0.5691519635742743,27.63496143958869,0.35335689045936397
2018-10-11 17:00:00,14.107406799146002,2.4494446026773,67.21105527638191,0.36101083032490977
2018-10-11 18:00:00,17.881660673422687,3.806818181818182,87.98498122653316,0.35714285714285715
2018-10-11 19:00:00,20.56112878231792,5.158164719293246,89.51310861423221,0.35714285714285715
2018-10-11 20:00:00,22.87949156685407,6.970128022759601,89.34010152284264,0.35842293906810035
2018-10-11 21:00:00,25.296410589572844,9.555048488305761,90.86294416243655,1.4388489208633095
2018-10-11 22:00:00,27.28896103896104,10.439247005134057,89.85879332477535,1.079136690647482
2018-10-11 23:00:00,29.08472930322894,10.392938496583144,90.23779724655819,1.079136690647482
2018-10-12 00:00:00,31.677874098679414,11.856696047767985,91.79292929292929,1.7793594306049825
2018-10-12 01:00:00,35.28507885159725,17.532838378069673,90.51186017478152,1.4336917562724014
2018-10-12 02:00:00,37.89847469937858,19.153168513782322,92.96675191815856,1.7605633802816902
2018-10-12 03:00:00,39.00468573275165,18.95332390381895,91.08040201005025,1.4184397163120568
2018-10-12 04:00:00,40.79127977392007,20.391934109627947,91.91542288557214,2.4475524475524475
2018-10-12 05:00:00,41.622318980809546,20.61328790459966,91.65628891656289,1.4084507042253522
2018-10-12 06:00:00,44.38464010282777,25.19127231510343,92.79393173198483,7.168458781362006
2018-10-12 07:00:00,46.67898160790298,25.66069906223359,93.1930693069307,41.935483870967744
2018-10-12 08:00:00,49.34929305912596,26.96245733788396,94.16873449131513,63.60424028268551
2018-10-12 09:00:00,54.504612916165264,27.655938479065796,94.27148194271481,72.63157894736842
2018-10-12 10:00:00,57.202338057490586,27.67579779723242,94.65838509316771,89.12280701754386
2018-10-12 11:00:00,59.06880331659092,29.755820556501988,95.13715710723191,93.00699300699301
2018-10-12 12:00:00,60.482968175275865,29.983012457531146,95.80686149936467,95.40636042402826
2018-10-12 13:00:00,62.92484442316898,30.399094254174923,94.67821782178217,95.72953736654804
2018-10-12 14:00:00,64.25047740292807,29.062500000000004,95.56650246305419,96.05734767025089
2018-10-12 15:00:00,65.9787267820289,30.445896052257883,95.53349875930522,95.72953736654804
2018-10-12 16:00:00,66.70372429127292,31.35472877023573,96.51741293532339,96.12676056338029
2018-10-12 17:00:00,67.41412213740458,33.35216040666478,96.01990049751244,96.113074204947
2018-10-12 18:00:00,68.14567430025446,34.195565662308134,96.98113207547169,96.05734767025089
2018-10-12 19:00:00,69.36622511303244,36.77674287327124,96.05095541401273,96.08540925266904
2018-10-12 20:00:00,69.75063532401525,36.828644501278774,96.9309462915601,96.78571428571429
2018-10-12 21:00:00,70.1855964467005,37.05497009399031,96.6501240694789,97.48201438848922
2018-10-12 22:00:00,70.79070505194703,38.909400738426584,95.7286432160804,96.7741935483871
2018-10-12 23:00:00,71.53846153846153,40.18109790605546,95.70164348925411,97.48201438848922
2018-10-13 00:00:00,71.9701184137328,41.158014831717054,96.0907944514502,97.48201438848922
2018-10-13 01:00:00,73.39209147212958,45.40278963848562,95.95448798988622,97.46376811594203
2018-10-13 02:00:00,73.40889276373147,43.70179948586118,96.13466334164589,98.2078853046595
2018-10-13 03:00:00,74.05529588845758,45.84511023176936,96.82337992376112,98.22064056939502
2018-10-13 04:00:00,74.74435196195006,46.9300739056282,96.28712871287128,98.22064056939502
2018-10-13 05:00:00,76.37658227848101,51.64119977362762,96.12015018773467,97.86476868327402
2018-10-13 06:00:00,77.3917860251642,52.926280247608325,96.26865671641791,98.57142857142858
2018-10-13 07:00:00,79.01439645625692,55.38287651879061,96.38854296388543,98.21428571428571
2018-10-13 08:00:00,80.87349397590361,55.154929577464785,95.92592592592592,99.28057553956835
2018-10-13 09:00:00,84.7738255565238,60.39716312056738,97.4074074074074,100.0
2018-10-13 10:00:00,88.57075061298742,71.17447769621683,97.63092269326683,100.0
2018-10-13 11:00:00,88.7966476913346,70.22297488004516,97.86163522012579,100.0
2018-10-13 12:00:00,89.8178939034046,71.49717514124293,97.85894206549118,100.0
2018-10-13 13:00:00,91.86387020182035,76.44545713471945,98.39506172839506,100.0
2018-10-13 14:00:00,94.27058637584953,82.53743995478949,98.98605830164765,100.0
2018-10-13 15:00:00,96.92186266771901,89.85057795319989,99.25373134328358,100.0
2018-10-13 16:00:00,99.51877563900284,98.34316203313675,99.24146649810368,100.0
2018-10-13 17:00:00,99.61356466876971,98.76265466816648,99.37733499377335,100.0
2018-10-13 18:00:00,99.64555765595463,98.8218793828892,99.37888198757764,100.0
2018-10-13 19:00:00,99.62198771460072,98.81756756756756,99.24812030075188,100.0
2018-10-13 20:00:00,99.66133732377726,98.96242288278184,99.625,100.0
2018-10-13 21:00:00,99.73226238286479,99.21414538310412,99.25465838509317,100.0
2018-10-13 22:00:00,99.74783293932231,99.21326215228997,99.50738916256158,100.0
2018-10-13 23:00:00,99.76353747930953,99.20970928591589,99.87468671679198,100.0
2018-10-14 00:00:00,99.7867298578199,99.26512153759187,100.0,100.0
2018-10-14 01:00:00,99.7866118707026,99.29498025944726,99.62732919254658,100.0
